non	not<br>Non mi piace la marmellata.<br>I do not like jam.
che	that<br>Dice che non vuole andare a scuola.<br>He says that he does not want to go to school.
di	of<br>Mi piace la macchina di Carlo.<br>I like the car of Carlo.
la	the<br>Tra i miei animali preferiti c'è la giraffa.<br>Among my favourite animals there is the giraffe.
un	a<br>Vuoi un panino per merenda?<br>Do you want a sandwich for a snack?
il	the<br>Dov’è il libro che ho comprato ieri?<br>Where is the book that I bought yesterday?
per	for<br>Questi fiori sono per te.<br>These flowers are for you.
una	a<br>Una mia amica si è trasferita a Roma.<br>A friend of mine moved to Rome.
in	in<br>Gli studenti non devono mangiare in classe.<br>Students mustn’t eat in class.
sono	am<br>(io) Sono contento del tuo successo.<br>I'm happy for your success.
mi	me<br>Mi passi la bottiglia, per favore?<br>Can you pass me the bottle, please?
si	one<br>Si deve stare attenti quando si guida di notte.<br>One should be careful when driving at night.
ho	have<br>(io) Ho una casa al mare e una in montagna.<br>I have got a house by the sea and one in the mountains.
lo	the<br>Lo scoiattolo è un animale molto vivace.<br>The squirrel is a very lively animal.
ma	but<br>Dice che ha tanti amici, ma non è vero.<br>He says that he has got many friends, but it is not true.
ha	has<br>Mia sorella ha tre cani.<br>My sister has got three dogs.
cosa	what<br>Cosa ne pensi del mio fidanzato?<br>What do you think about my boyfriend?
le	the<br>Le scarpe rosse con i tacchi alti non mi vanno bene.<br>The red shoes with high heels don't suit me.
con	with<br>Vieni con me al cinema?<br>Are you coming to the cinema with me?
ti	yourself<br>Come ti vedi con quel vestito?<br>How do you see yourself with that dress?
se	if<br>Se piove, staremo a casa.<br>If it rains, we'll stay at home.
no	no<br>"Ti piace il pesce fritto?” "No, non mangio pesce”.<br>"Do you like fried fish?" "No, I do not eat fish”.
da	from<br>Da dove vieni?<br>Where are you from?
come	how<br>Come stai?<br>How are you?
ci	us<br>Ci ha detto che Claudia non gli piace.<br>He told us that he does not like Claudia.
io	I<br>Io sono nata a Milano.<br>I was born in Milan.
questo	this<br>Mi piace questo abito.<br>I like this dress.
bene	well<br>Non sento molto bene.<br>I can’t hear very well.
qui	here<br>C’è un tabaccaio qui in zona?<br>Is there a tobacco shop around here?
sei	are<br>Di dove sei (tu)?<br>Where are you from?
