Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Small	Piccolo<br>Era così piccolo da bambino.<br>He was so small when he was a child.
Straight	Dritto<br>Disegna una linea dritta con il tuo righello.<br>Draw a straight line with your ruler.
Crooked	Storto<br>Il quadrato che ho disegnato è terribilmente storto. Mi aiuti?<br>The square I have drawn is terribly crooked. Can you help me?
New	Nuovo<br>C'è un nuovo membro della famiglia. Ho appena adottato un cane.<br>There is a new member in the family. I have just adopted a dog.
Old	Vecchio<br>Devo buttare via questo vestito vecchio.<br>I have to throw this old dress away.
Young	Giovane<br>È troppo giovane per guidare un’auto.<br>She is too young to drive a car.
Difficult	Difficile<br>È stato il test più difficile che abbia mai fatto.<br>It was the most difficult test I have ever taken.
Easy	Facile<br>Ho appena passato un test di matematica. Non è stato facile.<br>I have just passed a maths test. It was not that easy.
Thick	Grosso<br>La base di questo vaso è molto grossa.<br>This vase has a very thick base.
Thin	Sottile<br>Ha tagliato una fetta sottile di carne.<br>He cut a thin slice of meat.
Fat	Grasso<br>Sono un po’ troppo grasso per quel vestito.<br>I am a bit too fat for that outfit.
Thin	Magro<br>È magro come suo padre.<br>He is as thin as his father.
Skinny	Smilzo<br>Ho visto una figura smilza che camminava per casa.<br>I saw a skinny figure walking around the house.
Wide	Largo<br>Quest’area è abbastanza larga per costruire una casa.<br>This area is wide enough to build a house.
Narrow	Stretto<br>Non puoi passare da qui. È troppo stretto.<br>You can’t pass from here. It’s too narrow.
Interesting	Interessante<br>Ho appena finito di leggere un romanzo molto interessante. Te lo consiglio.<br>I've just finished reading a very interesting novel. I recommend it to you.
Boring	Noioso<br>Il mio lavoro è così noioso. Penso che dovrò cercare qualcosa di meglio.<br>My job is so boring. I think I will have to look for something better.
Interested	Interessato<br>No, grazie, non sono interessato.<br>No, thank you, I'm not interested.
Bored	Annoiato<br>Si è seduto lì sul divano, annoiato e scontroso.<br>He sat there on the sofa, bored and grumpy.
High	Alto<br>Quell'edificio non dovrebbe essere così alto. Stona con gli altri intorno.<br>That building shouldn’t be so high. It clashes with the others around.
Low	Basso<br>Puoi tenere il volume basso?<br>Can you keep the volume low?
Tall	Alto<br>Non è alto come suo fratello, ma è sicuramente più simpatico.<br>He is not as tall as his brother, but he is certainly nicer.
Short	Basso<br>È troppo basso per giocare a basket.<br>He is too short to play basketball.
Deep	Profondo<br>Quanto è profondo questo lago? Sembra molto profondo.<br>How deep is this lake? It looks very deep.
Shallow	Basso<br>L’acqua è bassa qui.<br>The water is shallow here.
Weak	Debole<br>Il vento è troppo debole per andare a vela.<br>The wind is too weak to go sailing.
Strong	Forte<br>Ha un forte accento greco, ma parla un ottimo inglese.<br>He has a strong Greek accent, but he speaks a very good English.
Fast	Veloce<br>È il più veloce della squadra.<br>He is the fastest of the team.
Slow	Lento<br>È lento come una tartaruga.<br>He is as slow as a turtle.
Quiet	Silenzioso<br>Mio padre è un uomo così silenzioso.<br>My father is such a quiet man.
Noisy	Rumoroso<br>Il mio vicino è davvero rumoroso, specialmente di notte.<br>My neighbour is really noisy, especially at night.
Good	Buono<br>Il gelato in questa gelateria è proprio buono.<br>Ice cream in this shop is really good.
Bad	Cattivo<br>Non è cattivo, è solo timido.<br>He is not bad, he is just shy.
Tidy	Ordinato<br>Lui non è ordinato come diceva di essere!<br>He is not as tidy as he said!
Untidy	Disordinato<br>La sua scrivania è così disordinata.<br>His desk is so untidy.
Dry	Asciutto<br>Appendi i vestiti all'aria aperta finché non sono asciutti.<br>Hang the clothes in the open air till they are dry.
Wet	Bagnato<br>Il pavimento è bagnato Non camminarci sopra.<br>The floor is wet. Don't walk on it.
Full	Pieno<br>Io vedo il bicchiere mezzo pieno, tu mezzo vuoto.<br>I see the glass half full, you see it half empty.
Empty	Vuoto<br>La mia tazza è vuota. Ho bevuto tutto il mio tè.<br>My cup is empty. I drank all my tea.
Light	Leggero<br>Oggi voglio fare un pasto leggero.<br>Today I want to have a light meal.
Heavy	Pesante<br>Il camion trasportava un carico molto pesante.<br>The truck carried a very heavy freight.
Dark	Scuro<br>È troppo scuro per vederci.<br>It's too dark to see much.
Light	Chiaro<br>"Amo il blu”. "Chiaro o scuro?"<br>“I love blue." "Light or dark?”
Soft	Morbido<br>“Del pane morbido, per favore” “Ecco qui”<br>“Some soft bread, please” “Here you are”
Hard	Duro<br>Questo panino è duro come una pietra.<br>This bread is as hard as a stone.
Smooth	Liscio<br>Un pavimento liscio è più facile da pulire.<br>A smooth floor is easier to clean.
Clean	Pulito<br>Lascia la cucina pulita dopo aver cucinato!<br>Leave the kitchen clean after cooking!
Dirty	Sporco<br>Questo pavimento è veramente sporco. Lo lavo immediatamente.<br>This floor is really dirty. I will wash it immediately.
Coarse	Ruvido<br>La pelle delle mie mani è ruvida in inverno.<br>The skin of my hands is coarse in winter.
Loose	Largo<br>Dovresti stringerlo di più. È troppo largo in questo modo.<br>You should fasten it more tight. It’s too loose in that way.
Tight	Stretto<br>Questo nodo è molto stretto.<br>This knot is really tight.
Warm	Caldo<br>Posso prestarti il mio maglione per tenerti caldo.<br>I can lend you my sweater to keep you warm.
Cool	Fresco<br>Oggi l'aria è più fresca di ieri.<br>Today the air is cooler than yesterday.
Hot	Caldo<br>Quando fa caldo, meglio bere molta acqua.<br>When it is hot, it is better to drink a lot of water.
Cold	Freddo<br>Quando fa freddo una cioccolata calda è come una coccola.<br>When it's cold, a hot chocolate is like a cuddle.
Warm	Caloroso<br>Diamo un caloroso benvenuto a Giulia!<br>Let's warmly welcome Giulia!
Friendly	Socievole<br>La mia insegnante è molto socievole con gli studenti.<br>My teacher is very friendly with students.
Unfriendly	Poco socievole<br>Quei gemelli sono l'opposto: uno è amato da tutti, l'altro è così poco socievole.<br>Those twins are the opposite: one is loved by everyone, the other is so
Lonely	Solitario<br>Unisciti a noi e non fare il solitario!<br>Join us and don’t be lonely!
Kind	Gentile<br>È stato gentile da parte tua invitarmi alla tua festa.<br>It was very kind of you to invite me at your party.
Unkind	Scortese<br>Tuo figlio è davvero scortese. Dice parolacce ai suoi compagni.<br>Your son is really unkind. He says swear words to his classmates.
Polite	Educato<br>Cosa gli è successo? Era così educato quando era giovane!<br>What happened to him? He was so polite when he was young!
Rude	Maleducato<br>Marco è stato così maleducato con Pamela.<br>Marco was so rude to Pamela.
Pleasant	Piacevole<br>Ho un piacevole ricordo del nostro viaggio.<br>I have a pleasant memory of our journey.
